ID,Player Name,Position,Team,Salary,DK-Avg-Pts,FantasyProsProj,,,,,Name,Position,Salary,GameInfo,AvgPointsPerGame
61,Brandon Stokley,WR,BAL,3000,4.271,0,,,,,Brian Hartline,WR,3000,SD@Mia 01:00PM ET,6.786
62,Brandon Tate,WR,CIN,3000,5,2.5,,,,,Brian Hoyer,QB,5300,TB@Cle 01:00PM ET,13.909
63,Brandon Weeden,QB,DAL,5000,3.13,0,,,,,Brian Leonhardt,TE,3000,Oak@Sea 04:25PM ET,1.8
64,Brandon Williams,TE,ARI,3000,1.133,0,,,,,Brian Quick,WR,3600,StL@SF 04:05PM ET,11.5
65,Brent Celek,TE,PHI,3000,2.9,1.8,,,,,Brian Tyms,WR,3000,Den@NE 04:25PM ET,3.767
66,Brenton Bersin,WR,CAR,3000,3.629,1,,,,,Brice Butler,WR,3000,Oak@Sea 04:25PM ET,4.933
67,Brian Hartline,WR,MIA,3000,6.786,3.6,,,,,Brock Osweiler,QB,5000,Den@NE 04:25PM ET,0
68,Brian Hoyer,QB,CLE,5300,13.909,15.8,,,,,Broncos,DST,2900,Den@NE 04:25PM ET,7.571
69,Brian Leonhardt,TE,OAK,3000,1.8,0.3,,,,,Browns,DST,2900,TB@Cle 01:00PM ET,7.571
70,Brian Tyms,WR,NE,3000,3.767,0.5,,,,,Bruce Ellington,WR,3000,StL@SF 04:05PM ET,2.3
71,Brice Butler,WR,OAK,3000,4.933,2.4,,,,,Bruce Gradkowski,QB,5000,Bal@Pit 08:30PM ET,-0.2
72,Brock Osweiler,QB,DEN,5000,0,0,,,,,Bruce Miller,RB,3000,StL@SF 04:05PM ET,0.671
73,Bruce Ellington,WR,SF,3000,2.3,1,,,,,Bryan Walters,WR,3000,Oak@Sea 04:25PM ET,1.533
74,Bruce Gradkowski,QB,PIT,5000,-0.2,0,,,,,Buccaneers,DST,2800,TB@Cle 01:00PM ET,5.429
75,Bruce Miller,RB,SF,3000,0.671,0.2,,,,,C.J. Anderson,RB,3000,Den@NE 04:25PM ET,1.25
76,Bryan Walters,WR,SEA,3000,1.533,0.8,,,,,C.J. Fiedorowicz,TE,3000,Phi@Hou 01:00PM ET,0.514
77,C.J. Anderson,RB,DEN,3000,1.25,0.3,,,,,Cam Newton,QB,8000,NO@Car 08:25PM ET,17.589
78,C.J. Fiedorowicz,TE,HOU,3000,0.514,0.6,,,,,Cardinals,DST,3000,Ari@Dal 01:00PM ET,7.714
79,Cam Newton,QB,CAR,8000,17.589,17.9,,,,,Carlos Hyde,RB,3000,StL@SF 04:05PM ET,5.043
80,Carlos Hyde,RB,SF,3000,5.043,7.6,,,,,Carson Palmer,QB,6800,Ari@Dal 01:00PM ET,21.01
81,Carson Palmer,QB,ARI,6800,21.01,16.1,,,,,Case Keenum,QB,5000,StL@SF 04:05PM ET,0
82,Case Keenum,QB,STL,5000,0,0,,,,,Cecil Shorts III,WR,4100,Jax@Cin 01:00PM ET,10.52
83,Cecil Shorts,WR,JAC,5000,0,6.2,,,,,Cedric Peerman,RB,3000,Jax@Cin 01:00PM ET,0.429
84,Cedric Peerman,RB,CIN,3000,0.429,0.1,,,,,Chad Henne,QB,5000,Jax@Cin 01:00PM ET,10.727
85,Chad Henne,QB,JAC,5000,10.727,0,,,,,Chargers,DST,2900,SD@Mia 01:00PM ET,6
86,Charles Clay,TE,MIA,3000,6.929,3.6,,,,,Charles Clay,TE,3000,SD@Mia 01:00PM ET,6.929
87,Charles Johnson,WR,MIN,3000,3.233,1.4,,,,,Charles Johnson,WR,3000,Was@Min 01:00PM ET,3.233
88,Charles Sims,RB,TB,3000,3.233,4,,,,,Chase Daniel,QB,5000,NYJ@KC 01:00PM ET,0
