Pid,Pn,Name,S,Team,Or,Ppg,Projected
386998,D,Tobias Enstrom,3200,,8.00,2.3,1.69436
554484,D,Justin Faulk,5900,,1.00,3.8,2.90386
417017,W,Patrick Maroon,2700,,27.00,1.6,1.78286
741453,D,Mirco Mueller,2500,,28.00,1.6,1.82436
172738,C,Tomas Plekanec,6100,,1.00,3.7,2.80386
229370,W,Thomas Vanek,4000,,17.00,2.2,1.96786
451466,W,Nathan Gerbe,3200,,15.00,2.2,1.88486
554508,W,Jason Zucker,2700,,17.00,2.2,1.96786
170712,C,Matt Cullen,3100,,13.00,2.2,1.80186
393971,C,Mike Santorelli,4100,,6.00,2.2,1.51136
171088,W,Daniel Sedin,5600,,3.00,3.6,2.78686
597137,D,Sami Vatanen,5700,,5.00,3.6,2.86986
236148,D,Dennis Wideman,4800,,4.00,3.6,2.82836
600077,W,Jonathan Huberdeau,3900,,24.00,1.8,1.85836
595203,W,Justin Fontaine,2700,,25.00,1.8,1.89986
171386,W,Martin Erat,2600,,21.00,1.8,1.73386
610628,W,Tobias Rieder,2600,,21.00,1.8,1.73386
171136,C,Shawn Horcoff,2700,,24.00,1.8,1.85836
409789,W,Wayne Simmonds,5000,,3.00,3.5,2.68686
296050,W,Clarke MacArthur,4800,,5.00,3.5,2.76986
508872,D,T.J. Brodie,4400,,4.00,3.5,2.72836
172191,W,Scottie Upshall,4200,,20.00,2.1,1.99236
552325,W,Lance Bouma,3500,,11.00,2.1,1.61886
303690,D,Kevin Bieksa,3600,,16.00,2.1,1.82636
659859,D,Cody Ceci,3200,,17.00,2.1,1.86786
729484,D,Danny DeKeyser,2900,,11.00,2.1,1.61886
607590,C,Victor Rask,2900,,19.00,2.1,1.95086
550771,C,Riley Sheahan,4200,,7.00,2.1,1.45286
447294,D,Nick Holden,2800,,26.00,1.5,1.64136
172167,D,Keith Ballard,2500,,30.00,1.5,1.80736
550753,D,Erik Gudbranson,2500,,27.00,1.5,1.68286
659814,D,Matt Dumba,2500,,30.00,1.5,1.80736
478197,D,P.K. Subban,6000,,3.00,3.4,2.58686
172179,W,Eric Nystrom,3200,,21.00,1.7,1.63386
269234,W,Lauri Korpikoski,2700,,25.00,1.7,1.79986
230687,D,Matthew Carle,3300,,22.00,1.7,1.67536
501534,D,Jordie Benn,2500,,24.00,1.7,1.75836
171391,C,Derek MacKenzie,2800,,21.00,1.7,1.63386
296815,W,David Clarkson,3600,,18.00,2.0,1.80936
177790,D,Dan Hamhuis,3100,,16.00,2.0,1.72636
172504,C,Derek Roy,3100,,13.00,2.0,1.60186
610878,C,Andrew Shaw,2900,,12.00,2.0,1.56036
229385,D,Mark Stuart,3300,,8.00,2.0,1.39436
499851,C,Paul Byron,4100,,9.00,2.0,1.43586
296053,C,Brad Richardson,2800,,10.00,2.0,1.47736
746470,C,Josh Jooris,2800,,9.00,2.0,1.43586
504255,C,Brayden Schenn,6100,,3.00,3.3,2.48686
170656,C,Joe Thornton,5300,,2.00,3.3,2.44536
544107,D,Matt IWin,2900,,28.00,1.4,1.62436
504313,D,Dylan Olsen,2700,,27.00,1.4,1.58286
184285,D,Nate Guenin,2600,,26.00,1.4,1.54136
397070,D,David Schlemko,2500,,29.00,1.4,1.66586
268146,W,Andrew Ladd,4700,,1.00,3.2,2.30386
302953,D,Mark Streit,4700,,2.00,3.2,2.34536
741407,D,Seth Jones,3300,,21.00,1.6,1.53386
385875,W,David Jones,3600,,12.00,1.9,1.46036
325554,W,Tyler Kennedy,3000,,19.00,1.9,1.75086
171251,W,Erik Cole,2700,,14.00,1.9,1.54336
499847,D,Carl Gunnarsson,3200,,20.00,1.9,1.79236
170561,D,Chris Phillips,3000,,17.00,1.9,1.66786
300806,C,Andrew Cogliano,3600,,20.00,1.9,1.79236
329659,C,Patrik Berglund,3500,,17.00,1.9,1.66786
456699,C,Colin Wilson,3500,,13.00,1.9,1.50186
549269,C,Marcus Kruger,2700,,12.00,1.9,1.46036
323129,W,Daniel Winnik,2800,,8.00,1.9,1.29436
386807,D,Niklas Hjalmarsson,3300,,9.00,1.9,1.33586
504290,C,Peter Holland,3500,,6.00,1.9,1.21136
593067,W,Gustav Nyquist,5400,,1.00,3.1,2.20386
547715,W,Tommy Wingels,4300,,4.00,3.1,2.32836
172592,W,Ales Hemsky,2900,,27.00,1.3,1.48286
504287,D,Dmitry Kulikov,2900,,27.00,1.3,1.48286
170969,D,Brad Stuart,2500,,26.00,1.3,1.44136
541897,D,Nate Prosser,2500,,30.00,1.3,1.60736
732005,C,Erik Haula,2600,,29.00,1.3,1.56586
171256,W,Marian Gaborik,4700,,16.00,1.8,1.52636
229377,W,Dustin Brown,3400,,18.00,1.8,1.60936
300799,D,Jakub Kindl,3400,,11.00,1.8,1.31886
456831,D,Luca Sbisa,2800,,16.00,1.8,1.52636
392946,D,Karl Alzner,2700,,15.00,1.8,1.48486
330094,C,Paul Stastny,3900,,17.00,1.8,1.56786
300805,C,T.J. Oshie,3300,,17.00,1.8,1.56786
296028,C,John Mitchell,2800,,15.00,1.8,1.48486
477659,W,Dale Weise,2900,,8.00,1.8,1.19436
831151,W,Jiri Sekac,2600,,10.00,1.8,1.27736
339752,C,Darren Helm,3700,,7.00,1.8,1.15286
504252,W,Evander Kane,5300,,1.00,3.0,2.10386
659810,C,Alex Galchenyuk,5100,,1.00,3.0,2.10386
595927,D,Mattias Ekholm,2500,,21.00,1.5,1.43386
447212,C,Jay Beagle,2800,,25.00,1.5,1.59986
550776,C,Evgeny Kuznetsov,2500,,25.00,1.5,1.59986
600076,W,Gabriel Landeskog,5100,,2.00,2.9,2.04536
171113,D,Andrei Markov,4700,,3.00,2.9,2.08686
392944,C,Kyle Turris,5200,,4.00,2.9,2.12836
659862,W,Tomas Hertl,4000,,19.00,1.7,1.55086
607597,W,Matthew Nieto,2800,,19.00,1.7,1.55086
451518,W,Chris Terry,2700,,15.00,1.7,1.38486
456826,W,Zach Boychuk,2700,,15.00,1.7,1.38486
596465,W,Linden Vey,2600,,15.00,1.7,1.38486
392971,D,Brendan Smith,3300,,11.00,1.7,1.21886
300809,D,Matt Niskanen,3200,,15.00,1.7,1.38486
547709,D,Christopher Tanev,3000,,16.00,1.7,1.42636
330276,D,Johnny Oduya,2700,,9.00,1.7,1.13586
172150,W,Chris Higgins,4700,,3.00,2.8,1.98686
522606,W,Mike Hoffman,4500,,5.00,2.8,2.06986
329285,D,Kris Russell,4200,,4.00,2.8,2.02836
544288,W,Ben Smith,2500,,22.00,1.4,1.37536
170835,D,Eric Brewer,2700,,22.00,1.4,1.37536
741405,C,Aleksander Barkov,3300,,21.00,1.4,1.33386
456832,D,Michael Del Zotto,4600,,2.00,2.7,1.84536
550779,W,Emerson Etem,3700,,17.00,1.6,1.36786
829696,W,Pierre-Edouard Bellemare,2700,,20.00,1.6,1.49236
330092,W,Jannik Hansen,2500,,15.00,1.6,1.28486
172162,D,Jay Bouwmeester,3100,,20.00,1.6,1.49236
170982,D,Robyn Regehr,2500,,19.00,1.6,1.45086
541196,D,Ryan Stanton,2500,,16.00,1.6,1.32636
656728,C,Luke Glendening,2900,,7.00,1.6,0.95286
170807,W,Alex Tanguay,4000,,2.00,2.6,1.74536
550762,D,Cam Fowler,4400,,5.00,2.6,1.86986
329645,C,Bryan Little,3700,,5.00,2.6,1.86986
172231,W,Sean Bergenheim,4200,,24.00,1.3,1.35836
562974,W,Taylor Beck,2800,,21.00,1.3,1.23386
172235,W,Tomas Fleischmann,2700,,24.00,1.3,1.35836
600110,D,Jamie Oleksiak,2600,,24.00,1.3,1.35836
172472,D,Anton Volchenkov,2500,,21.00,1.3,1.23386
607576,C,Rocco Grimaldi,2500,,21.00,1.3,1.23386
329663,D,Chris Summers,2500,,29.00,1.1,1.36586
479603,D,Jason Demers,2500,,28.00,1.1,1.32436
324924,W,Drew Miller,3100,,16.00,1.5,1.22636
381466,W,Derek Dorsett,2500,,15.00,1.5,1.18486
543483,D,Patrick Wiercioch,3400,,17.00,1.5,1.26786
171036,D,Barret Jackman,2500,,20.00,1.5,1.39236
172089,C,Jarret Stoll,3000,,18.00,1.5,1.30936
229387,C,Mike Richards,2500,,18.00,1.5,1.30936
301772,W,Bryan Bickell,2500,,6.00,1.5,0.81136
456829,D,Jake Gardiner,3300,,9.00,1.5,0.93586
170514,W,Jarome Iginla,4100,,2.00,2.4,1.54536
522130,W,Ryan O'Reilly,4100,,2.00,2.4,1.54536
452080,W,Rob Klinkhammer,2500,,25.00,1.2,1.29986
589971,D,Brenden Dillon,2500,,24.00,1.2,1.25836
490373,C,Colton Sceviour,2600,,24.00,1.2,1.25836
172444,W,Tomas Kopecky,2800,,20.00,1.4,1.29236
478204,W,Dwight King,2700,,18.00,1.4,1.20936
504282,W,Zack Kassian,2500,,15.00,1.4,1.08486
521854,W,Richard Panik,2500,,18.00,1.4,1.20936
184273,D,Matt Greene,2500,,19.00,1.4,1.25086
184271,C,Joakim Lindstrom,2800,,17.00,1.4,1.16786
176127,C,Paul Gaustad,2600,,13.00,1.4,1.00186
296046,C,Nate Thompson,2600,,20.00,1.4,1.29236
496330,D,Paul Postma,2500,,8.00,1.4,0.79436
377663,C,Shawn Matthias,2600,,10.00,1.4,0.87736
329579,D,Andrej Sekera,4300,,1.00,2.3,1.40386
392954,C,Lars Eller,3900,,1.00,2.3,1.40386
170811,C,Vincent Lecavalier,3300,,3.00,2.3,1.48686
600098,C,Mark Scheifele,4000,,5.00,2.2,1.46986
600101,C,Sean Couturier,3600,,3.00,2.2,1.38686
171321,W,Jason Chimera,2500,,22.00,1.1,1.07536
728700,D,Andrej Sustr,2500,,22.00,1.1,1.07536
600108,W,Sven Baertschi,2700,,11.00,1.3,0.81886
504260,D,Jared Cowen,2800,,17.00,1.3,1.06786
392959,D,Ian Cole,2500,,20.00,1.3,1.19236
467252,D,Yannick Weber,2500,,16.00,1.3,1.02636
607609,C,William Karlsson,2500,,20.00,1.3,1.19236
184263,W,Alexander Semin,3200,,9.00,1.3,0.73586
170840,D,Stephane Robidas,2500,,9.00,1.3,0.73586
593010,W,Matt Read,4100,,3.00,2.1,1.28686
170280,D,Sergei Gonchar,3300,,3.00,2.1,1.28686
269233,C,Kyle Chipchura,2500,,27.00,0.9,1.08286
228966,W,Milan Michalek,4100,,5.00,2.0,1.26986
382055,W,Jamie McGinn,3200,,2.00,2.0,1.14536
659813,D,Hampus Lindholm,3700,,5.00,2.0,1.26986
451706,C,David Desharnais,3800,,1.00,2.0,1.10386
732453,W,Curtis McKenzie,2700,,14.00,1.2,0.84336
521640,W,Kyle Clifford,2500,,18.00,1.2,1.00936
729825,D,Nate Schmidt,2700,,15.00,1.2,0.88486
296124,D,Kyle Quincey,2500,,11.00,1.2,0.71886
326026,D,Jonathan Ericsson,2500,,11.00,1.2,0.71886
568608,D,Brayden McNabb,2500,,19.00,1.2,1.05086
235539,C,Max Talbot,2700,,15.00,1.2,0.88486
170782,C,Daniel Briere,2500,,15.00,1.2,0.88486
653290,W,J.T. Brown,2500,,10.00,1.2,0.67736
381290,C,Trevor Smith,2500,,6.00,1.2,0.51136
184270,D,Tom Gilbert,3100,,3.00,1.9,1.08686
171320,D,Nick Schultz,2800,,2.00,1.9,1.04536
554498,C,Calle Jarnkrok,3000,,13.00,1.1,0.70186
178282,C,Jay McClement,2500,,19.00,1.1,0.95086
235441,C,Maxim Lapierre,2500,,17.00,1.1,0.86786
600132,C,Rickard Rakell,2500,,20.00,1.1,0.99236
497014,C,Joakim Andersson,2500,,7.00,1.1,0.45286
172597,D,Jay Harrison,2900,,1.00,1.8,0.90386
456628,D,Luke Schenn,2900,,2.00,1.8,0.94536
741449,C,Curtis Lazar,3800,,4.00,1.8,1.02836
329642,C,James Sheppard,2500,,2.00,1.8,0.94536
173242,W,Shawn Thornton,2600,,24.00,0.9,0.95836
607580,W,Tomas Jurco,3400,,1.00,1.7,0.80386
171424,D,Mike Weaver,3000,,3.00,1.7,0.88686
597144,D,Alexei Emelin,2800,,3.00,1.7,0.88686
495305,D,Jamie McBain,3500,,19.00,1.0,0.85086
170629,C,Olli Jokinen,2500,,13.00,1.0,0.60186
554554,C,Joakim Nordstrom,2500,,12.00,1.0,0.56036
171094,W,Chris Neil,2500,,6.00,1.0,0.31136
296021,W,Dan Carcillo,2500,,6.00,1.0,0.31136
296907,W,Brandon Prust,2500,,10.00,1.0,0.47736
550756,W,Brett Connolly,2500,,10.00,1.0,0.47736
504296,D,David Rundblad,2700,,9.00,1.0,0.43586
297844,D,Nicklas Grossmann,2700,,2.00,1.6,0.74536
522061,W,Brandon McMillan,2500,,25.00,0.8,0.89986
849162,C,Liam O'Brien,2500,,25.00,0.8,0.89986
543573,W,Brandon Bollig,2500,,11.00,0.9,0.41886
479737,D,Brian Lashoff,2500,,11.00,0.9,0.41886
543480,D,Eric Gryba,2500,,17.00,0.9,0.66786
329379,W,Patrick Dwyer,2500,,9.00,0.9,0.33586
547716,W,Jeremy Morin,2500,,6.00,0.9,0.21136
607978,W,Josh Leivo,2500,,8.00,0.9,0.29436
597141,C,Andrej Nestrasil,2500,,7.00,0.9,0.25286
741412,C,Bo Horvat,2500,,10.00,0.9,0.37736
845428,W,Dennis Everberg,2600,,2.00,1.5,0.64536
232379,D,John-Michael Liles,3200,,1.00,1.5,0.60386
172593,D,Carlo Colaiacovo,2800,,2.00,1.5,0.64536
600115,D,Nathan Beaulieu,2700,,3.00,1.5,0.68686
447273,C,Mathieu Perreault,3000,,5.00,1.5,0.76986
600082,C,Mika Zibanejad,2900,,4.00,1.5,0.72836
543856,C,Chris VandeVelde,2500,,3.00,1.5,0.68686
325430,W,Adam Burish,2500,,4.00,1.4,0.62836
612926,D,Josh Manson,2700,,5.00,1.4,0.66986
171342,D,Ron Hainsey,2500,,1.00,1.4,0.50386
178005,D,Tim Gleason,2500,,1.00,1.4,0.50386
178003,C,R.J. Umberger,2700,,3.00,1.4,0.58686
170839,C,David Legwand,2600,,4.00,1.4,0.62836
544186,W,Gabriel Bourque,2500,,21.00,0.7,0.63386
172412,W,Tim Jackman,2500,,17.00,0.8,0.56786
386160,W,Ryan Reaves,2500,,19.00,0.8,0.65086
512065,W,Zac Rinaldo,2500,,20.00,0.8,0.69236
591919,D,Mark Borowiecki,2500,,17.00,0.8,0.56786
170951,D,Michal Rozsival,2500,,9.00,0.8,0.23586
339481,D,Adam Pardy,2500,,8.00,0.8,0.19436
170808,D,Bryan Allen,2500,,5.00,1.3,0.56986
235763,D,Deryk Engelland,2500,,4.00,1.3,0.52836
268151,D,Ladislav Smid,2500,,4.00,1.3,0.52836
301462,D,Clayton Stoner,2500,,5.00,1.2,0.46986
455701,C,Zack Smith,2500,,4.00,1.2,0.42836
231132,W,B.J. Crombeen,2500,,21.00,0.6,0.53386
653337,C,Chris Brown,2500,,25.00,0.6,0.69986
174717,W,Travis Moen,2500,,14.00,0.7,0.34336
170997,W,Brenden Morrow,2500,,29.00,0.5,0.76586
