Id,Position,Name,Salary,GameInfo,AvgPointsPerGame
171,PF,Udonis Haslem,3000,Mia@Bkn 07:30PM ET,12.063
172,SF,Cartier Martin,3000,Orl@Det 07:30PM ET,0
173,PF,Charlie Villanueva,3000,Dal@Cha 07:00PM ET,3.625
174,PF,Anthony Tolliver,3000,Pho@Bos 07:30PM ET,5.583
175,SG,Shannon Brown,3000,Mia@Bkn 07:30PM ET,3.625
176,SF,Dorell Wright,3000,NO@Por 10:00PM ET,5.25
177,PG,Beno Udrih,3000,Hou@Mem 08:00PM ET,12.3
178,PG,Jordan Farmar,3000,Chi@LAC 10:30PM ET,8.969
179,PG,Brian Roberts,3000,Dal@Cha 07:00PM ET,11.775
180,PF,Glen Davis,3000,Chi@LAC 10:30PM ET,3.75
181,PF,Joey Dorsey,3000,Hou@Mem 08:00PM ET,2.4
182,PF,Joel Anthony,3000,Orl@Det 07:30PM ET,5.417
183,PF,Jeff Ayres,3000,Phi@SA 08:30PM ET,5
184,SF,Chris Douglas-Roberts,3000,Chi@LAC 10:30PM ET,4.563
185,C,Aron Baynes,3000,Phi@SA 08:30PM ET,10.778
186,SF,Alonzo Gee,3000,Den@Cle 07:00PM ET,9.964
187,C,Joel Freeland,3000,NO@Por 10:00PM ET,6.929
188,C,Jerome Jordan,3000,Mia@Bkn 07:30PM ET,5.792
189,SG,Quincy Pondexter,3000,Hou@Mem 08:00PM ET,6.694
190,SG,Gerald Henderson,3000,Dal@Cha 07:00PM ET,9.75
191,PF,Darrell Arthur,3000,Den@Cle 07:00PM ET,13.714
192,C,Ekpe Udoh,3000,Chi@LAC 10:30PM ET,0
193,PF,Jon Leuer,3000,Hou@Mem 08:00PM ET,6.475
194,PG,E'Twaun Moore,3000,Chi@LAC 10:30PM ET,0.313
195,SG,Marcus Thornton,3000,Pho@Bos 07:30PM ET,10.536
196,PG,Nick Calathes,3000,Hou@Mem 08:00PM ET,0
197,SF,Austin Daye,3000,Phi@SA 08:30PM ET,6.125
198,PG,Jimmer Fredette,3000,NO@Por 10:00PM ET,4.75
199,PG,Patty Mills,3000,Phi@SA 08:30PM ET,0
200,PF,Alexis Ajinca,3000,NO@Por 10:00PM ET,5.958
201,C,Jeff Withey,3000,NO@Por 10:00PM ET,2.167
202,PG,Jorge Gutierrez,3000,Mia@Bkn 07:30PM ET,0.875
203,PF,Drew Gordon,3000,Phi@SA 08:30PM ET,8.75
204,C,Justin Hamilton,3000,Mia@Bkn 07:30PM ET,11.75
205,SF,Luke Babbitt,3000,NO@Por 10:00PM ET,8.125
206,C,Tyler Zeller,3000,Pho@Bos 07:30PM ET,10.719
207,PF,Andrew Nicholson,3000,Orl@Det 07:30PM ET,4.438
208,SF,Jeffery Taylor,3000,Dal@Cha 07:00PM ET,0
209,SG,Darius Miller,3000,NO@Por 10:00PM ET,2.25
210,SG,Luigi Datome,3000,Orl@Det 07:30PM ET,0
211,SG,Victor Claver,3000,NO@Por 10:00PM ET,0
212,PF,Jonas Jerebko,3000,Orl@Det 07:30PM ET,11.625
213,SG,C.J. Wilcox,3000,Chi@LAC 10:30PM ET,0
214,PG,Erick Green,3000,Den@Cle 07:00PM ET,8.75
215,PF,Cory Jefferson,3000,Mia@Bkn 07:30PM ET,2.938
216,PF,Thomas Robinson,3000,NO@Por 10:00PM ET,6.893
217,PG,Jared Cunningham,3000,Chi@LAC 10:30PM ET,2.813
218,PG,Troy Daniels,3000,Hou@Mem 08:00PM ET,3.607
219,C,Greg Smith,3000,Dal@Cha 07:00PM ET,2.571
220,SG,Andre Dawkins,3000,Mia@Bkn 07:30PM ET,-0.25
221,PG,C.J. McCollum,3000,NO@Por 10:00PM ET,9
222,PG,Will Cherry,3000,Den@Cle 07:00PM ET,5.583
223,PF,Robert Covington,3000,Phi@SA 08:30PM ET,0
224,PG,Matthew Dellavedova,3000,Den@Cle 07:00PM ET,8.417
225,SG,Allen Crabbe,3000,NO@Por 10:00PM ET,9
226,SG,Tony Snell,3000,Chi@LAC 10:30PM ET,5.438
227,PF,Cameron Bairstow,3000,Chi@LAC 10:30PM ET,-0.5
228,C,Alex Kirk,3000,Den@Cle 07:00PM ET,1.75
229,SG,Will Barton,3000,NO@Por 10:00PM ET,6.125
230,PF,Tarik Black,3000,Hou@Mem 08:00PM ET,7.143
231,PF,Patric Young,3000,NO@Por 10:00PM ET,0
232,PG,Phil Pressey,3000,Pho@Bos 07:30PM ET,9
233,PF,Dwight Powell,3000,Pho@Bos 07:30PM ET,0
234,SF,Reggie Bullock,3000,Chi@LAC 10:30PM ET,11
235,PF,Jae Crowder,3000,Dal@Cha 07:00PM ET,6.194
236,PG,Shabazz Napier,3000,Mia@Bkn 07:30PM ET,12.583
237,PG,Russ Smith,3000,NO@Por 10:00PM ET,-1
238,SG,Markel Brown,3000,Mia@Bkn 07:30PM ET,0
239,SG,Roy Devyn Marble,3000,Orl@Det 07:30PM ET,1.313
240,SF,Doug McDermott,3000,Chi@LAC 10:30PM ET,7.325
241,SG,Zoran Dragic,3000,Pho@Bos 07:30PM ET,0
242,C,Bismack Biyombo,3000,Dal@Cha 07:00PM ET,12.833
243,PF,Nikola Mirotic,3000,Chi@LAC 10:30PM ET,8.725
244,PG,Austin Rivers,3000,NO@Por 10:00PM ET,16.313
245,SG,James Ennis,3000,Mia@Bkn 07:30PM ET,5.778
246,PG,Spencer Dinwiddie,3000,Orl@Det 07:30PM ET,1.5
247,SG,Nick Johnson,3000,Hou@Mem 08:00PM ET,1.083
248,SF,Tony Mitchell,3000,Orl@Det 07:30PM ET,0
249,C,Dewayne Dedmon,3000,Orl@Det 07:30PM ET,7.679
250,SG,P.J. Hairston,3000,Dal@Cha 07:00PM ET,10.107
251,SF,Maurice Harkless,3000,Orl@Det 07:30PM ET,11
252,PF,Jakarr Sampson,3000,Phi@SA 08:30PM ET,7.281
253,PF,Jarnell Stokes,3000,Hou@Mem 08:00PM ET,0
254,SF,T.J. Warren,3000,Pho@Bos 07:30PM ET,0
255,SG,Sergey Karasev,3000,Mia@Bkn 07:30PM ET,2.375
256,SG,Jordan Adams,3000,Hou@Mem 08:00PM ET,0
257,SF,Kyle Anderson,3000,Phi@SA 08:30PM ET,8.125
258,SF,Jerami Grant,3000,Phi@SA 08:30PM ET,0
259,PF,Nerlens Noel,3000,Phi@SA 08:30PM ET,22.179
260,SG,Archie Goodwin,3000,Pho@Bos 07:30PM ET,2.75
261,SG,Ricky Ledo,3000,Dal@Cha 07:00PM ET,0
262,C,Vitor Faverani,3000,Pho@Bos 07:30PM ET,0
263,PG,Tyler Ennis,3000,Pho@Bos 07:30PM ET,3.875
264,PF,Noah Vonleh,3000,Dal@Cha 07:00PM ET,2
265,SG,James Young,3000,Pho@Bos 07:30PM ET,6.375
266,C,Joel Embiid,3000,Phi@SA 08:30PM ET,0
267,C,Jusuf Nurkic,3000,Den@Cle 07:00PM ET,11.143
268,PF,Clint Capela,3000,Hou@Mem 08:00PM ET,4.75
