Pid,Pn,Name,S,Team,Or,Ppg,Projected,Value,Home,Last 10,vsBackup,isStarting,isStarter,Ppg - Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,,Swp,Pp,I,News
452133,D,Tyson Strachan,"2,900.00",Buf,19.00,1.80,1.8,0.6206896552,FALSE,,,,,1.8,4955,4979,4955,Fla,Buf,94,,,,true,1,O,1
171424,D,Mike Weaver,"2,500.00",Mon,30.00,1.50,1.8,0.72,FALSE,,,,,1.5,4963,4962,4963,Dal,Mon,94,,,,true,1,O,2
479603,D,Jason Demers,"3,300.00",Dal,17.00,1.60,1.76,0.5333333333,TRUE,,,,,1.6,4962,4962,4963,Dal,Mon,94,,,,true,1,O,2
501534,D,Jordie Benn,"2,700.00",Dal,17.00,1.60,1.76,0.6518518519,TRUE,,,,,1.6,4962,4962,4963,Dal,Mon,94,,,,true,1,O,1
171136,C,Shawn Horcoff,"2,500.00",Dal,12.00,1.60,1.76,0.704,TRUE,,,,,1.6,4962,4962,4963,Dal,Mon,91,,,,true,1,O,2
172464,C,Vernon Fiddler,"2,500.00",Dal,12.00,1.60,1.76,0.704,TRUE,,,,,1.6,4962,4962,4963,Dal,Mon,91,,,,true,1,O,2
610878,C,Andrew Shaw,"3,900.00",Chi,2.00,2.20,1.76,0.4512820513,FALSE,,,,,2.2,4957,4980,4957,Nsh,Chi,91,,,,true,1,DTD,2
600120,D,Connor Murphy,"2,800.00",Ari,12.00,1.60,1.76,0.6285714286,TRUE,,,,,1.6,4977,4977,4954,Ari,Bos,94,,,,true,1,O,2
172179,LW,Eric Nystrom,"3,000.00",Nsh,5.00,1.70,1.7425,0.5808333333,TRUE,,TRUE,,,1.7,4980,4980,4957,Nsh,Chi,92,,,,true,1,DTD,2
392971,D,Brendan Smith,"2,900.00",Det,5.00,1.70,1.7425,0.600862069,TRUE,,TRUE,,,1.7,4958,4958,4966,Det,NYR,94,,,,true,1,O,1
300799,D,Jakub Kindl,"2,600.00",Det,5.00,1.70,1.7425,0.6701923077,TRUE,,TRUE,,,1.7,4958,4958,4966,Det,NYR,94,,,,true,1,O,1
184276,C,Gregory Campbell,"2,500.00",Bos,25.00,1.40,1.715,0.686,FALSE,,TRUE,,,1.4,4954,4977,4954,Ari,Bos,91,,,,true,1,DTD,2
504313,D,Dylan Olsen,"2,800.00",Fla,16.00,1.40,1.715,0.6125,TRUE,,TRUE,,,1.4,4979,4979,4955,Fla,Buf,94,,,,true,1,O,2
381466,RW,Derek Dorsett,"2,800.00",Van,16.00,1.70,1.7,0.6071428571,FALSE,,,,,1.7,4975,4974,4975,Tor,Van,93,,,,true,1,O,2
300784,RW,Jack Skille,"2,700.00",Cls,13.00,1.70,1.7,0.6296296296,FALSE,,,,,1.7,4982,4973,4982,TB,Cls,93,,,,true,1,O,1
386807,D,Niklas Hjalmarsson,"2,500.00",Chi,14.00,1.70,1.7,0.68,FALSE,,,,,1.7,4957,4980,4957,Nsh,Chi,94,,,,true,1,DTD,1
741463,LW,Andre Burakovsky,"3,200.00",Was,8.00,2.10,1.68,0.525,FALSE,,,,,2.1,4976,4964,4976,NJ,Was,92,,,,true,1,DTD,2
547799,D,David Savard,"2,900.00",Cls,9.00,2.10,1.68,0.5793103448,FALSE,,,,,2.1,4982,4973,4982,TB,Cls,94,,,,true,1,O,2
456829,D,Jake Gardiner,"3,900.00",Tor,3.00,1.80,1.62,0.4153846154,TRUE,,,,,1.8,4974,4974,4975,Tor,Van,94,,,,true,1,DTD,2
504290,C,Peter Holland,"2,900.00",Tor,9.00,1.80,1.62,0.5586206897,TRUE,,,,,1.8,4974,4974,4975,Tor,Van,91,,,,true,1,O,2
229380,RW,Steve Bernier,"2,800.00",NJ,8.00,1.80,1.62,0.5785714286,TRUE,,,,,1.8,4964,4964,4976,NJ,Was,93,,,,true,1,O,2
741453,D,Mirco Mueller,"2,600.00",SJ,13.00,1.60,1.6,0.6153846154,FALSE,,,,,1.6,4971,4956,4971,Cgy,SJ,94,,,,true,1,O,2
549269,C,Marcus Kruger,"2,800.00",Chi,2.00,2.00,1.6,0.5714285714,FALSE,,,,,2.0,4957,4980,4957,Nsh,Chi,91,,,,true,1,O,2
330276,D,Johnny Oduya,"2,500.00",Chi,14.00,1.60,1.6,0.64,FALSE,,,,,1.6,4957,4980,4957,Nsh,Chi,94,,,,true,1,DTD,1
656728,C,Luke Glendening,"2,500.00",Det,17.00,1.30,1.5925,0.637,TRUE,,TRUE,,,1.3,4958,4958,4966,Det,NYR,91,,,,true,1,O,2
544879,D,Matt Bartkowski,"2,500.00",Bos,24.00,1.30,1.5925,0.637,FALSE,,TRUE,,,1.3,4954,4977,4954,Ari,Bos,94,,,,true,1,O,2
235763,D,Deryk Engelland,"2,500.00",Cgy,25.00,1.30,1.56,0.624,TRUE,,,,,1.3,4956,4956,4971,Cgy,SJ,94,,,,true,1,DTD,2
268151,D,Ladislav Smid,"2,500.00",Cgy,25.00,1.30,1.56,0.624,TRUE,,,,,1.3,4956,4956,4971,Cgy,SJ,94,,,,true,1,DTD,1
