Pid,Pn,Name,S,Team,Or,Ppg,Projected,Home,Last 10 Days,Archive PPG,C,W,D,G
680978,C,Cedric Paquette,"2,500.00",,28.00,2.20,5.40,TRUE,,2.2,TRUE,FALSE,FALSE,FALSE
184091,C,Jussi Jokinen,"3,500.00",,30.00,2.20,5.40,TRUE,,2.2,TRUE,FALSE,FALSE,FALSE
522269,LW,Matt Calvert,"2,800.00",,16.00,1.40,5.40,FALSE,,1.4,FALSE,TRUE,FALSE,FALSE
177791,D,Paul Martin,"2,900.00",,3.00,1.90,5.40,TRUE,,1.9,FALSE,FALSE,TRUE,FALSE
329424,D,Jan Hejda,"2,800.00",,10.00,1.90,5.39,FALSE,,1.9,FALSE,FALSE,TRUE,FALSE
521640,LW,Kyle Clifford,"2,700.00",,26.00,1.40,5.39,FALSE,,1.4,FALSE,TRUE,FALSE,FALSE
550756,RW,Brett Connolly,"2,900.00",,28.00,1.40,5.39,TRUE,,1.4,FALSE,TRUE,FALSE,FALSE
171102,LW,Martin Havlat,"2,900.00",,29.00,1.40,5.39,FALSE,,1.4,FALSE,TRUE,FALSE,FALSE
184079,LW,Tuomo Ruutu,"2,600.00",,29.00,1.40,5.39,FALSE,,1.4,FALSE,TRUE,FALSE,FALSE
229389,C,Brian Boyle,"2,800.00",,28.00,2.10,5.37,TRUE,,2.1,TRUE,FALSE,FALSE,FALSE
550771,C,Riley Sheahan,"3,600.00",,29.00,2.10,5.37,TRUE,,2.1,TRUE,FALSE,FALSE,FALSE
171321,LW,Jason Chimera,"2,700.00",,15.00,1.30,5.37,FALSE,,1.3,FALSE,TRUE,FALSE,FALSE
397070,D,David Schlemko,"2,900.00",,1.00,1.80,5.37,TRUE,,1.8,FALSE,FALSE,TRUE,FALSE
379101,RW,Torrey Mitchell,"2,900.00",,16.00,1.30,5.37,FALSE,,1.3,FALSE,TRUE,FALSE,FALSE
171094,RW,Chris Neil,"2,500.00",,18.00,1.30,5.36,TRUE,,1.3,FALSE,TRUE,FALSE,FALSE
594735,LW,Cory Conacher,"2,500.00",,20.00,1.30,5.36,FALSE,,1.3,FALSE,TRUE,FALSE,FALSE
170712,C,Matt Cullen,"3,000.00",,1.00,2.00,5.36,TRUE,,2,TRUE,FALSE,FALSE,FALSE
521854,RW,Richard Panik,"2,500.00",,23.00,1.30,5.36,TRUE,,1.3,FALSE,TRUE,FALSE,FALSE
562974,LW,Taylor Beck,"2,500.00",,23.00,1.30,5.36,TRUE,,1.3,FALSE,TRUE,FALSE,FALSE
330094,C,Paul Stastny,"4,700.00",,2.00,2.00,5.36,FALSE,,2,TRUE,FALSE,FALSE,FALSE
300805,C,T.J. Oshie,"4,200.00",,2.00,2.00,5.36,FALSE,,2,TRUE,FALSE,FALSE,FALSE
456829,D,Jake Gardiner,"3,800.00",,9.00,1.80,5.36,TRUE,,1.8,FALSE,FALSE,TRUE,FALSE
452133,D,Tyson Strachan,"3,000.00",,10.00,1.80,5.36,FALSE,,1.8,FALSE,FALSE,TRUE,FALSE
230687,D,Matthew Carle,"3,500.00",,15.00,1.80,5.35,TRUE,,1.8,FALSE,FALSE,TRUE,FALSE
