ID,Pos,Name,Sal,Team,OR,FPPG,Projected
177697,W,Michael Ryder,"4,550",NJ,8.00,1.84,1.472
556369,W,Mark Stone,"3,650",OTT,2.00,1.75,1.4
329541,W,Jiri Tlusty,"4,100",CAR,6.00,1.74,1.392
550770,W,Beau Bennett,"3,850",PIT,12.00,1.39,1.39
653255,W,Reilly Smith,"4,350",BOS,1.00,1.73,1.384
170627,W,Daniel Cleary,"3,250",DET,23.00,1.13,1.356
229371,W,Ryane Clowe,"3,900",NJ,29.00,0.96,1.344
171251,W,Erik Cole,"3,600",DAL,14.00,1.33,1.33
504282,W,Zack Kassian,"3,600",VAN,30.00,0.93,1.302
229392,W,Patrick Eaves,"3,650",DAL,5.00,1.58,1.264
594632,W,Ryan Garbutt,"4,000",DAL,5.00,1.57,1.256
184270,W,Tom Sestito,"3,250",VAN,19.00,1.25,1.25
392970,W,David Perron,"4,350",EDM,10.00,1.52,1.216
171112,W,Brian Gionta,"3,500",BUF,19.00,1.18,1.18
382185,W,Teddy Purcell,"3,750",EDM,16.00,1.17,1.17
300784,W,Jack Skille,"3,600",CBJ,18.00,1.16,1.16
300781,W,Benoit Pouliot,"3,500",EDM,10.00,1.42,1.136
659808,W,Nail Yakupov,"3,600",EDM,16.00,1.12,1.12
296907,W,Brandon Prust,"3,550",MTL,27.00,0.79,1.106
329652,W,Chris Terry,"3,250",CAR,19.00,1.08,1.08
522269,W,Matt Calvert,"3,750",CBJ,26.00,0.77,1.078
170456,W,Patrik Elias,"4,050",NJ,9.00,1.34,1.072
681456,W,Seth Griffith,"3,750",BOS,7.00,1.34,1.072
300805,W,T.J. Oshie,"3,950",STL,18.00,1,1
171102,W,Martin Havlat,"3,750",NJ,1.00,1.23,0.984
229380,W,Steve Bernier,"3,000",NJ,8.00,1.2,0.96
386160,W,Ryan Reaves,"3,200",STL,27.00,0.68,0.952
184079,W,Tuomo Ruutu,"3,450",NJ,1.00,1.19,0.952
456826,W,Zach Boychuk,"3,850",CAR,6.00,1.18,0.944
660042,W,Damien Brunner,"3,500",NJ,8.00,1.17,0.936
522049,W,Marcus Foligno,"3,350",BUF,15.00,0.93,0.93
732005,W,Erik Haula,"3,650",MIN,27.00,0.62,0.868
544673,W,Colin Greening,"3,400",OTT,23.00,0.71,0.852
547228,W,Matt Fraser,"3,050",BOS,1.00,1.06,0.848
172191,W,Scottie Upshall,"4,150",FLA,9.00,1,0.8
171094,W,Chris Neil,"3,250",OTT,2.00,0.96,0.768
504680,W,Erik Condra,"3,500",OTT,2.00,0.96,0.768
504261,W,Magnus Paajarvi,"3,000",STL,30.00,0.54,0.756
172235,W,Tomas Fleischmann,"3,700",FLA,16.00,0.75,0.75
184263,W,Alexander Semin,"4,350",CAR,3.00,0.87,0.696
597130,W,Nicolas Deslauriers,"3,000",BUF,15.00,0.69,0.69
324924,W,Drew Miller,"3,250",DET,9.00,0.85,0.68
170941,W,Simon Gagne,"3,400",BOS,18.00,0.66,0.66
329652,W,Chris Stewart,"3,500",BUF,19.00,0.64,0.64
172168,W,Daniel Paille,"3,200",BOS,18.00,0.61,0.61
173242,W,Shawn Thornton,"3,000",FLA,16.00,0.56,0.56
