Pid,Pn,Name,S,Team,Or,Ppg,Ppg-Last 10,Projected,Projected-Last 10,Difference,Value,Streak,Back2Back,Home,Last 10,vsBackup,isStarting,isStarter,goalieBack2Back,Ppg-Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,Swp,Pp,I,News
451466,LW,Nathan Gerbe,"3,500.00",Car,1.00,2.50,3.00,3.0625,2.925,-0.1375,0.875,-1,TRUE,TRUE,TRUE,TRUE,,,,2.5,4960,4960,4958,Car,Det,92,,,true,,DTD,2
170656,C,Joe Thornton,"4,600.00",SJ,13.00,3.00,2.60,3,2.9,-0.1,0.652173913,4,TRUE,FALSE,,,,,,3.0,4971,4959,4971,Edm,SJ,91,,,true,,DTD,1
547709,D,Christopher Tanev,"3,700.00",Van,28.00,2.10,2.90,2.52,2.85,0.33,0.6810810811,-1,TRUE,FALSE,,,,,,2.1,4975,4967,4975,Ott,Van,94,,,true,,O,2
302865,D,Marc-Edouard Vlasic,"3,400.00",SJ,27.00,2.00,2.20,2.4,2.84,0.44,0.7058823529,4,TRUE,FALSE,,,,,,2.0,4971,4959,4971,Edm,SJ,94,,,true,,DTD,1
504252,LW,Evander Kane,"5,800.00",Wpg,9.00,3.20,3.80,2.88,2.78,-0.1,0.4965517241,2,,TRUE,,,,,,3.2,4981,4981,4978,Wpg,Anh,92,,,true,,DTD,2
171367,C,Pavel Datsyuk,"6,800.00",Det,14.00,4.00,3.30,4.8,2.76,-2.04,0.7058823529,2,TRUE,FALSE,TRUE,,,,,4.0,4958,4960,4958,Car,Det,91,,,true,,DTD,2
456827,D,Erik Karlsson,"7,000.00",Ott,3.00,4.10,3.90,4.51,2.69,-1.82,0.6442857143,-5,,TRUE,,,,,,4.1,4967,4967,4975,Ott,Van,94,,,true,,DTD,1
660044,D,Justin Schultz,"4,200.00",Edm,25.00,2.50,2.40,3.3125,2.68,-0.6325,0.7886904762,-11,,TRUE,,TRUE,,,,2.5,4959,4959,4971,Edm,SJ,94,,,true,,O,2
554484,D,Justin Faulk,"5,100.00",Car,6.00,3.50,3.00,4.2875,2.625,-1.6625,0.8406862745,-1,TRUE,TRUE,TRUE,TRUE,,,,3.5,4960,4960,4958,Car,Det,94,,,true,,DTD,1
171352,RW,Radim Vrbata,"6,400.00",Van,9.00,4.00,3.80,4,2.6,-1.4,0.625,-1,TRUE,FALSE,TRUE,,,,,4.0,4975,4967,4975,Ott,Van,93,,,true,,DTD,1
544480,D,Justin Braun,"3,200.00",SJ,27.00,2.00,2.00,2.4,2.6,0.2,0.75,4,TRUE,FALSE,,,,,,2.0,4971,4959,4971,Edm,SJ,94,,,true,,DTD,1
229391,RW,Corey Perry,"8,000.00",Anh,2.00,0.00,3.20,0,2.56,2.56,0,3,,FALSE,,,,,,4.3,4978,4981,4978,Wpg,Anh,93,,,true,,DTD,2
228968,C,Ryan Kesler,"5,900.00",Anh,6.00,3.60,3.20,2.88,2.56,-0.32,0.4881355932,3,,FALSE,,,,,,3.6,4978,4981,4978,Wpg,Anh,91,,,true,,DTD,2
268146,LW,Andrew Ladd,"5,800.00",Wpg,9.00,3.40,3.60,3.06,2.56,-0.5,0.5275862069,2,,TRUE,,,,,,3.4,4981,4981,4978,Wpg,Anh,92,,,true,,DTD,2
417017,LW,Patrick Maroon,"3,600.00",Anh,22.00,2.00,2.30,2.2,2.53,0.33,0.6111111111,3,,FALSE,,,,,,2.0,4978,4981,4978,Wpg,Anh,92,,,true,,O,2
607597,LW,Matthew Nieto,"3,000.00",SJ,28.00,1.90,1.90,2.28,2.47,0.19,0.76,4,TRUE,FALSE,,,,,,1.9,4971,4959,4971,Edm,SJ,92,,,true,,DTD,2
171088,LW,Daniel Sedin,"5,400.00",Van,12.00,3.50,3.50,3.5,2.45,-1.05,0.6481481481,-1,TRUE,FALSE,,,,,,3.5,4975,4967,4975,Ott,Van,92,,,true,,DTD,1
447273,C,Mathieu Perreault,"3,500.00",Wpg,11.00,1.80,2.50,1.98,2.39,0.41,0.5657142857,2,,TRUE,,,,,,1.8,4981,4981,4978,Wpg,Anh,91,,,true,,DTD,2
296053,C,Brad Richardson,"3,500.00",Van,23.00,2.30,2.80,2.53,2.39,-0.14,0.7228571429,-1,TRUE,FALSE,,,,,,2.3,4975,4967,4975,Ott,Van,91,,,true,,O,2
329643,RW,Michael Frolik,"3,900.00",Wpg,20.00,2.40,2.60,2.64,2.38,-0.26,0.6769230769,2,,TRUE,,,,,,2.4,4981,4981,4978,Wpg,Anh,93,,,true,,O,1
176834,G,Craig Anderson,"8,000.00",Ott,3.00,5.30,5.00,4.77,2.38,-2.39,0.59625,-5,,TRUE,,,TRUE,,,5.3,4967,4967,4975,Ott,Van,95,,,true,,,2
548735,D,Nikita Nikitin,"3,100.00",Edm,25.00,2.10,2.10,2.7825,2.3625,-0.42,0.8975806452,-11,,TRUE,,TRUE,,,,2.1,4959,4959,4971,Edm,SJ,94,,,true,,DTD,2
392970,LW,David Perron,"4,400.00",Edm,20.00,2.30,2.30,2.8175,2.3575,-0.46,0.6403409091,-11,,TRUE,,TRUE,,,,2.3,4959,4959,4971,Edm,SJ,92,,,true,,DTD,2
303690,D,Kevin Bieksa,"3,800.00",Van,28.00,2.20,2.50,2.64,2.34,-0.3,0.6947368421,-1,TRUE,FALSE,,,,,,2.2,4975,4967,4975,Ott,Van,94,,,true,,O,1
596832,RW,Jakob Silfverberg,"4,200.00",Anh,2.00,2.50,2.90,2,2.32,0.32,0.4761904762,3,,FALSE,,,,,,2.5,4978,4981,4978,Wpg,Anh,93,,,true,,O,2
659813,D,Hampus Lindholm,"3,700.00",Anh,9.00,2.00,2.30,2,2.3,0.3,0.5405405405,3,,FALSE,TRUE,,,,,2.0,4978,4981,4978,Wpg,Anh,94,,,true,,O,2
550762,D,Cam Fowler,"4,200.00",Anh,9.00,2.50,2.30,2.5,2.3,-0.2,0.5952380952,3,,FALSE,TRUE,,,,,2.5,4978,4981,4978,Wpg,Anh,94,,,true,,O,2
563202,D,Mark Fayne,"2,700.00",Edm,25.00,2.00,2.00,2.65,2.25,-0.4,0.9814814815,-11,,TRUE,,TRUE,,,,2.0,4959,4959,4971,Edm,SJ,94,,,true,,DL,2
593803,C,Mark Arcobello,"3,100.00",Edm,21.00,2.00,2.00,2.65,2.25,-0.4,0.8548387097,-11,,TRUE,,TRUE,,,,2.0,4959,4959,4971,Edm,SJ,91,,,true,,DTD,2
547578,D,Ben Chiarot,"2,500.00",Wpg,18.00,2.50,2.50,2.75,2.25,-0.5,1.1,2,,TRUE,,,,,,2.5,4981,4981,4978,Wpg,Anh,94,,,true,,O,1
607580,RW,Tomas Jurco,"3,600.00",Det,11.00,2.00,2.80,2,2.2,0.2,0.5555555556,2,TRUE,FALSE,,,,,,2.0,4958,4960,4958,Car,Det,93,,,true,,O,2
172150,LW,Chris Higgins,"4,400.00",Van,12.00,2.80,3.00,2.8,2.16,-0.64,0.6363636364,-1,TRUE,FALSE,,,,,,2.8,4975,4967,4975,Ott,Van,92,,,true,,DTD,2
330091,D,Alexander Edler,"4,700.00",Van,28.00,3.20,2.60,3.84,2.16,-1.68,0.8170212766,-1,TRUE,FALSE,,,,,,3.2,4975,4967,4975,Ott,Van,94,,,true,,DTD,1
382185,RW,Teddy Purcell,"3,400.00",Edm,22.00,1.80,1.90,2.385,2.1575,-0.2275,0.7014705882,-11,,TRUE,,TRUE,,,,1.8,4959,4959,4971,Edm,SJ,93,,,true,,DTD,2
172229,C,Boyd Gordon,"3,300.00",Edm,21.00,1.90,1.90,2.5175,2.1375,-0.38,0.7628787879,-11,,TRUE,,TRUE,,,,1.9,4959,4959,4971,Edm,SJ,91,,,true,,DTD,2
741453,D,Mirco Mueller,"2,600.00",SJ,27.00,1.60,1.60,1.92,2.08,0.16,0.7384615385,4,TRUE,FALSE,,,,,,1.6,4971,4959,4971,Edm,SJ,94,,,true,,DL,2
522606,LW,Mike Hoffman,"3,300.00",Ott,16.00,2.50,2.50,2.75,2,-0.75,0.8333333333,-5,TRUE,TRUE,,,,,,2.5,4967,4967,4975,Ott,Van,92,,,true,,DTD,1
298603,RW,Bobby Ryan,"4,500.00",Ott,12.00,2.70,2.30,2.97,1.99,-0.98,0.66,-5,,TRUE,,,,,,2.7,4967,4967,4975,Ott,Van,93,,,true,,DTD,2
329642,C,James Sheppard,"2,900.00",SJ,13.00,1.80,1.80,1.8,1.98,0.18,0.6206896552,4,TRUE,FALSE,,,,,,1.8,4971,4959,4971,Edm,SJ,91,,,true,,DTD,2
593067,RW,Gustav Nyquist,"5,000.00",Det,11.00,3.10,2.90,3.1,1.97,-1.13,0.62,2,TRUE,FALSE,,,,,,3.1,4958,4960,4958,Car,Det,93,,,true,,DTD,1
330092,RW,Jannik Hansen,"3,800.00",Van,9.00,2.30,3.30,1.84,1.95,0.11,0.4842105263,-1,TRUE,FALSE,,,,,,2.3,4975,4967,4975,Ott,Van,93,,,true,,O,2
184050,D,Niklas Kronwall,"4,200.00",Det,20.00,2.70,2.30,3.24,1.95,-1.29,0.7714285714,2,TRUE,FALSE,TRUE,,,,,2.7,4958,4960,4958,Car,Det,94,,,true,,O,2
296050,LW,Clarke MacArthur,"4,700.00",Ott,16.00,3.00,2.30,3.3,1.93,-1.37,0.7021276596,-5,,TRUE,,,,,,3.0,4967,4967,4975,Ott,Van,92,,,true,,DTD,1
504309,RW,Kyle Palmieri,"3,400.00",Anh,2.00,2.40,2.40,1.92,1.92,0,0.5647058824,3,,FALSE,,,,,,2.4,4978,4981,4978,Wpg,Anh,93,,,true,,DTD,2
171089,C,Henrik Sedin,"4,100.00",Van,23.00,2.80,2.50,3.08,1.91,-1.17,0.7512195122,-1,TRUE,FALSE,,,,,,2.8,4975,4967,4975,Ott,Van,91,,,true,,O,1
556369,RW,Mark Stone,"3,100.00",Ott,12.00,2.10,2.10,2.31,1.89,-0.42,0.7451612903,-5,,TRUE,,,,,,2.1,4967,4967,4975,Ott,Van,93,,,true,,DTD,2
729484,D,Danny DeKeyser,"2,900.00",Det,20.00,2.10,2.10,2.52,1.89,-0.63,0.8689655172,2,TRUE,FALSE,TRUE,,,,,2.1,4958,4960,4958,Car,Det,94,,,true,,DTD,2
339752,C,Darren Helm,"4,400.00",Det,14.00,2.10,2.10,2.52,1.89,-0.63,0.5727272727,2,TRUE,FALSE,TRUE,,,,,2.1,4958,4960,4958,Car,Det,91,,,true,,DTD,2
542226,C,Nick Bonino,"4,900.00",Van,23.00,3.30,2.60,3.63,1.87,-1.76,0.7408163265,-1,TRUE,FALSE,,,,,,3.3,4975,4967,4975,Ott,Van,91,,,true,,DTD,1
296477,RW,Johan Franzen,"4,700.00",Det,11.00,3.40,2.40,4.08,1.86,-2.22,0.8680851064,2,TRUE,FALSE,TRUE,,,,,3.4,4958,4960,4958,Car,Det,93,,,true,,DTD,1
392944,C,Kyle Turris,"4,900.00",Ott,9.00,2.90,2.70,2.61,1.85,-0.76,0.5326530612,-5,,TRUE,,,,,,2.9,4967,4967,4975,Ott,Van,91,,,true,,DTD,1
339607,G,Ondrej Pavelec,"6,700.00",Wpg,10.00,4.00,3.80,3.6,1.82,-1.78,0.5373134328,2,,TRUE,,,TRUE,TRUE,,4.0,4981,4981,4978,Wpg,Anh,95,,,true,,DTD,2
589971,D,Brenden Dillon,"2,900.00",SJ,27.00,1.40,1.40,1.68,1.82,0.14,0.5793103448,4,TRUE,FALSE,,,,,,1.4,4971,4959,4971,Edm,SJ,94,,,true,,DTD,2
392962,C,Riley Nash,"3,100.00",Car,7.00,2.50,2.50,2.5625,1.8125,-0.75,0.8266129032,-1,TRUE,TRUE,,TRUE,,,,2.5,4960,4960,4958,Car,Det,91,,,true,,DTD,1
329541,LW,Jiri Tlusty,"4,400.00",Car,1.00,2.70,2.50,2.7675,1.7525,-1.015,0.6289772727,-1,TRUE,TRUE,,TRUE,,,,2.7,4960,4960,4958,Car,Det,92,,,true,,DTD,2
653479,RW,Alex Chiasson,"3,600.00",Ott,12.00,2.30,2.00,2.53,1.74,-0.79,0.7027777778,-5,,TRUE,,,,,,2.3,4967,4967,4975,Ott,Van,93,,,true,,O,2
229385,D,Mark Stuart,"3,100.00",Wpg,18.00,1.90,1.90,2.09,1.71,-0.38,0.6741935484,2,,TRUE,,,,,,1.9,4981,4981,4978,Wpg,Anh,94,,,true,,DTD,1
544107,D,Matt Irwin,"3,400.00",SJ,27.00,1.50,1.30,1.8,1.71,-0.09,0.5294117647,4,TRUE,FALSE,,,,,,1.5,4971,4959,4971,Edm,SJ,94,,,true,,DTD,2
467252,D,Yannick Weber,"3,000.00",Van,28.00,1.80,1.80,2.16,1.62,-0.54,0.72,-1,TRUE,FALSE,,,,,,1.8,4975,4967,4975,Ott,Van,94,,,true,,DTD,1
607590,C,Victor Rask,"3,200.00",Car,7.00,2.20,2.20,2.255,1.595,-0.66,0.7046875,-1,TRUE,TRUE,,TRUE,,,,2.2,4960,4960,4958,Car,Det,91,,,true,,DTD,1
