Pid,Pn,Name,S,Team,Or,Ppg,Ppg-Last 10,Projected,Projected-Last 10,Difference,Value,Streak,Back2Back,Home,Last 10,vsBackup,isStarting,isStarter,goalieBack2Back,Ppg-Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,Swp,Pp,I,News
495948,LW,Luke Gazdic,"2,500.00",Edm,20.00,0.90,0.90,1.1025,0.9225,-0.18,0.441,-11,,TRUE,,TRUE,,,,0.9,4959,4959,4971,Edm,SJ,92,,,true,,O,2
544763,G,Ben Scrivens,"6,300.00",Edm,17.00,2.60,1.60,3.185,0.92,-2.265,0.5055555556,-11,,TRUE,,TRUE,TRUE,TRUE,,2.6,4959,4959,4971,Edm,SJ,95,,,true,,DTD,2
656728,C,Luke Glendening,"2,500.00",Det,14.00,1.30,1.30,1.3,0.91,-0.39,0.52,2,TRUE,FALSE,,,,,,1.3,4958,4960,4958,Car,Det,91,,,true,,O,1
172412,RW,Tim Jackman,"2,900.00",Anh,2.00,1.10,1.10,0.88,0.88,0,0.3034482759,3,,FALSE,,,,,,1.1,4978,4981,4978,Wpg,Anh,93,,,true,,DTD,2
612926,D,Josh Manson,"2,500.00",Anh,9.00,1.10,1.10,0.88,0.88,0,0.352,3,,FALSE,,,,,,1.1,4978,4981,4978,Wpg,Anh,94,,,true,,O,1
597141,C,Andrej Nestrasil,"2,500.00",Car,7.00,1.20,1.20,1.23,0.87,-0.36,0.492,-1,TRUE,TRUE,,TRUE,,,,1.2,4960,4960,4958,Car,Det,91,,,true,,O,1
381466,RW,Derek Dorsett,"3,000.00",Van,9.00,1.70,1.70,1.36,0.85,-0.51,0.4533333333,-1,TRUE,FALSE,,,,,,1.7,4975,4967,4975,Ott,Van,93,,,true,,DTD,1
659808,RW,Nail Yakupov,"3,400.00",Edm,22.00,1.80,0.90,2.385,0.8325,-1.5525,0.7014705882,-11,,TRUE,,TRUE,,,,1.8,4959,4959,4971,Edm,SJ,93,,,true,,DTD,2
339481,D,Adam Pardy,"2,500.00",Wpg,18.00,0.90,0.90,0.99,0.81,-0.18,0.396,2,,TRUE,,,,,,0.9,4981,4981,4978,Wpg,Anh,94,,,true,,DL,1
504680,RW,Erik Condra,"2,900.00",Ott,12.00,0.90,0.90,0.99,0.81,-0.18,0.3413793103,-5,,TRUE,,,,,,0.9,4967,4967,4975,Ott,Van,93,,,true,,DTD,1
184263,RW,Alexander Semin,"3,700.00",Car,6.00,1.40,1.20,1.435,0.81,-0.625,0.3878378378,-1,TRUE,TRUE,,TRUE,,,,1.4,4960,4960,4958,Car,Det,93,,,true,,O,2
596465,RW,Linden Vey,"2,500.00",Van,9.00,1.60,1.60,1.28,0.8,-0.48,0.512,-1,TRUE,FALSE,,,,,,1.6,4975,4967,4975,Ott,Van,93,,,true,,O,1
178282,C,Jay McClement,"2,800.00",Car,7.00,1.10,1.10,1.1275,0.7975,-0.33,0.4026785714,-1,TRUE,TRUE,,TRUE,,,,1.1,4960,4960,4958,Car,Det,91,,,true,,DTD,2
489724,D,Keith Aulie,"2,500.00",Edm,25.00,0.70,0.70,0.9275,0.7875,-0.14,0.371,-11,,TRUE,,TRUE,,,,0.7,4959,4959,4971,Edm,SJ,94,,,true,,O,2
555131,LW,Tye McGinn,"2,500.00",SJ,28.00,0.60,0.60,0.72,0.78,0.06,0.288,4,TRUE,FALSE,,,,,,0.6,4971,4959,4971,Edm,SJ,92,,,true,,O,1
170824,D,Scott Hannan,"2,500.00",SJ,27.00,0.60,0.60,0.72,0.78,0.06,0.288,4,TRUE,FALSE,,,,,,0.6,4971,4959,4971,Edm,SJ,94,,,true,,DL,2
479737,D,Brian Lashoff,"2,500.00",Det,20.00,1.10,1.10,1.1,0.77,-0.33,0.44,2,TRUE,FALSE,,,,,,1.1,4958,4960,4958,Car,Det,94,,,true,,O,2
607959,LW,Adam Lowry,"2,500.00",Wpg,9.00,1.10,1.10,0.99,0.77,-0.22,0.396,2,,TRUE,,,,,,1.1,4981,4981,4978,Wpg,Anh,92,,,true,,O,1
455701,C,Zack Smith,"2,500.00",Ott,9.00,1.10,1.10,0.99,0.77,-0.22,0.396,-5,,TRUE,,,,,,1.1,4967,4967,4975,Ott,Van,91,,,true,,O,2
