Pid,Pn,Name,S,TEAM,Or,Ppg,Projected,
329663,D,Chris Summers,2500,,13.00,1.00,1,
495305,D,Jamie McBain,2500,,17.00,1.00,1,
504300,C,Jacob Josefson,2500,,19.00,1.00,1,
376393,RW,Marc-Andre Cliche,2500,,26.00,0.70,0.98,
172140,C,Jim Slater,2900,,30.00,0.70,0.98,
172412,RW,Tim Jackman,2500,,23.00,0.80,0.96,
171094,RW,Chris Neil,2500,,13.00,0.90,0.9,
600108,LW,Sven Baertschi,2600,,2.00,1.10,0.88,
263094,LW,Rene Bourque,2500,,9.00,1.10,0.88,
172472,D,Anton Volchenkov,2500,,1.00,1.10,0.88,
455701,C,Zack Smith,2500,,1.00,1.10,0.88,
741444,C,Alexander Wennberg,2500,,7.00,1.10,0.88,
231132,RW,B.J. Crombeen,2500,,29.00,0.60,0.84,
447863,D,Grant Clitsome,2500,,28.00,0.60,0.84,
522061,LW,Brandon McMillan,2500,,22.00,0.70,0.84,
600132,C,Rickard Rakell,2500,,10.00,1.00,0.8,
325206,RW,Adam Cracknell,2500,,1.00,0.90,0.72,
386160,RW,Ryan Reaves,2500,,9.00,0.90,0.72,
543573,LW,Brandon Bollig,2500,,2.00,0.90,0.72,
555764,LW,Michael Ferland,2500,,2.00,0.90,0.72,
544737,D,Kevin Connauton,2700,,9.00,0.90,0.72,
232292,RW,Chris Thorburn,2500,,30.00,0.50,0.7,
456690,RW,Matt Halischuk,2500,,30.00,0.50,0.7,
544673,LW,Colin Greening,2800,,12.00,0.70,0.7,
172443,C,Steve Ott,2500,,17.00,0.70,0.7,
543480,D,Eric Gryba,2500,,2.00,0.80,0.64,
591919,D,Mark Borowiecki,2500,,2.00,0.80,0.64,
735639,D,Seth Helgeson,2500,,6.00,0.80,0.64,
300785,RW,Devin Setoguchi,2500,,15.00,0.60,0.6,
452001,LW,T.J. Galiardi,2500,,14.00,0.60,0.6,
544186,LW,Gabriel Bourque,2500,,19.00,0.60,0.6,
172369,D,Jordan Leopold,2500,,9.00,0.70,0.56,
379020,RW,Steven Pinizzotto,3300,,21.00,2.20,0.5,
172192,RW,Jordin Tootoo,2500,,19.00,0.50,0.5,
504680,RW,Erik Condra,2500,,13.00,0.50,0.5,
504261,LW,Magnus Paajarvi,2500,,20.00,0.50,0.5,
607612,LW,Lucas Lessio,2500,,22.00,0.40,0.48,
381464,RW,Jared Boll,2500,,1.00,0.50,0.4,
551535,RW,Corey Tropp,2500,,1.00,0.50,0.4,
172451,RW,Brian McGrattan,2500,,15.00,0.40,0.4,
498232,D,Victor Bartley,2500,,1.00,0.50,0.4,
595928,D,Raphael Diaz,2500,,18.00,0.40,0.4,
549856,C,Jordan Nolan,2500,,2.00,0.50,0.4,
739464,C,Corban Knight,2500,,6.00,0.50,0.4,
402054,LW,Chris Porter,2500,,20.00,0.30,0.3,
494189,RW,Anthony Peluso,2500,,30.00,0.20,0.28,
615332,D,Jyrki Jokipakka,2500,,26.00,0.20,0.28,
522063,D,Mat Clark,2500,,11.00,0.20,0.2,
607972,LW,Andy Andreoff,2500,,4.00,0.20,0.16,
303081,RW,Alexandre Burrows,3800,,24.00,2.50,0,
300781,LW,Benoit Pouliot,3500,,26.00,2.00,0,
495948,LW,Luke Gazdic,2500,,26.00,0.00,0,
543477,G,Michael Hutchinson,7500,,27.00,4.50,7.2,
172139,G,Kari Lehtonen,6700,,29.00,4.30,0,
268156,G,Devan Dubnyk,8300,,22.00,5.70,0,
521575,G,Robin Lehner,7800,,13.00,5.20,0,
329657,G,Semyon Varlamov,7200,,23.00,4.30,0,
483706,G,Jake Allen,8900,,10.00,5.80,0,
554496,G,Calvin Pickard,6200,,23.00,3.50,0,
556379,G,Frederik Andersen,7400,,1.00,4.60,0,
326023,G,Karri Ramo,6300,,16.00,3.60,0,
296906,G,Curtis McElhinney,6200,,30.00,2.20,0,
542954,G,Carter Hutton,6200,,21.00,2.60,0,
479871,G,Martin Jones,6500,,8.00,3.10,0,
171297,G,Jason LaBarbera,6200,,1.00,3.00,0,
656273,G,Viktor Fasth,6200,,11.00,2.40,2.4,
543662,G,Eddie Lack,6200,,9.00,2.40,0,
547322,G,Anders Lindback,6200,,29.00,0.40,0,
171394,G,Scott Clemmensen,6200,,5.00,0.40,0,
547717,G,Jacob Markstrom,6200,,9.00,0.00,0,
450762,D,Alec Martinez,4400,,17.00,2.80,0,
172162,D,Jay Bouwmeester,3300,,24.00,1.70,0,
170561,D,Chris Phillips,2700,,2.00,1.80,0,
170700,D,Derek Morris,3100,,13.00,0.00,0,
170719,D,Sheldon Souray,2700,,11.00,0.00,0,
323580,D,Peter Harrold,2500,,6.00,0.00,0,
610897,D,Frank Corrado,2500,,5.00,0.00,0,
300797,C,Martin Hanzal,5100,,26.00,3.00,0,
296028,C,John Mitchell,2800,,25.00,1.60,0,
