ID,Position,Name,Salary,GameInfo,AvgPointsPerGame
114,C,Derek Stepan,4800,NYR@Pit 07:00PM ET,3.55
117,C,Brandon Sutter,4700,NYR@Pit 07:00PM ET,2.933
122,C,Zemgus Girgensons,4700,Tor@Buf 07:00PM ET,2.689
126,C,Lars Eller,4600,Phi@Mon 07:00PM ET,2.471
130,C,Mark Scheifele,4500,Wpg@Nsh 07:00PM ET,2.235
135,C,Craig Smith,4400,Wpg@Nsh 07:00PM ET,2.625
139,C,Bryan Little,4300,Wpg@Nsh 07:00PM ET,2.882
141,C,Ryan Strome,4300,NYI@TB 07:00PM ET,2.625
142,C,Alex Galchenyuk,4300,Phi@Mon 07:00PM ET,2.876
146,C,Curtis Lazar,4200,Ott@Cgy 10:00PM ET,1.967
152,C,Mike Ribeiro,4000,Wpg@Nsh 07:00PM ET,2.531
156,C,Travis Zajac,4000,Col@NJ 07:00PM ET,2.029
157,C,Paul Stastny,4000,Was@StL 08:00PM ET,2.05
160,C,Mike Santorelli,4000,Tor@Buf 07:00PM ET,2.118
163,C,Adam Henrique,4000,Col@NJ 07:00PM ET,2.808
174,C,Nazem Kadri,3800,Tor@Buf 07:00PM ET,2.235
182,C,Peter Holland,3700,Tor@Buf 07:00PM ET,2
184,C,Leo Komarov,3700,Tor@Buf 07:00PM ET,2.559
185,C,Vincent Lecavalier,3600,Phi@Mon 07:00PM ET,2.5
186,C,Brian Boyle,3600,NYI@TB 07:00PM ET,2.529
189,C,Paul Byron,3600,Ott@Cgy 10:00PM ET,1.889
205,C,Sean Couturier,3400,Phi@Mon 07:00PM ET,2.167
209,C,Mikhail Grabovski,3300,NYI@TB 07:00PM ET,2.385
211,C,David Desharnais,3300,Phi@Mon 07:00PM ET,1.865
213,C,Evgeny Kuznetsov,3300,Was@StL 08:00PM ET,1.613
215,C,Anders Lee,3300,NYI@TB 07:00PM ET,1.95
217,C,Matt Cullen,3200,Wpg@Nsh 07:00PM ET,2.25
220,C,Derek Roy,3200,Wpg@Nsh 07:00PM ET,1.95
230,C,Dominic Moore,3000,NYR@Pit 07:00PM ET,1.813
232,C,T.J. Oshie,3000,Was@StL 08:00PM ET,1.778
235,C,Colin Wilson,3000,Wpg@Nsh 07:00PM ET,1.643
245,C,Cody Hodgson,2900,Tor@Buf 07:00PM ET,1.111
249,C,Mika Zibanejad,2900,Ott@Cgy 10:00PM ET,1.544
251,C,Josh Jooris,2900,Ott@Cgy 10:00PM ET,1.769
252,C,Patrik Elias,2800,Col@NJ 07:00PM ET,1.588
254,C,R.J. Umberger,2800,Phi@Mon 07:00PM ET,1.4
259,C,Nick Spaling,2800,NYR@Pit 07:00PM ET,1.333
263,C,Brian Gibbons,2800,SJ@Cls 07:00PM ET,2
271,C,James Sheppard,2700,SJ@Cls 07:00PM ET,1.958
273,C,Mathieu Perreault,2700,Wpg@Nsh 07:00PM ET,1.335
278,C,Markus Granlund,2700,Ott@Cgy 10:00PM ET,2.571
280,C,David Legwand,2600,Ott@Cgy 10:00PM ET,1.5
281,C,Max Talbot,2600,Col@NJ 07:00PM ET,1.25
282,C,John Mitchell,2600,Col@NJ 07:00PM ET,1.607
283,C,Patrik Berglund,2600,Was@StL 08:00PM ET,1.467
288,C,Olli Jokinen,2500,Wpg@Nsh 07:00PM ET,1.094
289,C,Daniel Briere,2500,Col@NJ 07:00PM ET,1.269
291,C,Manny Malhotra,2500,Phi@Mon 07:00PM ET,0.941
