Pid,Pn,Name,S,Team,Or,Ppg,new projected,Home,Last 10,vsBackup,isStarter,Ppg - Archive,Projected,HomeXOR,HomeXPpg
184285,D,Nate Guenin,"2,600.00",,12.00,1.50,1.62,FALSE,,,,1.5,1.50,0,0
171424,D,Mike Weaver,"2,500.00",,6.00,1.50,1.62,FALSE,,TRUE,,1.5,1.43,0,0
567889,C,Michael Sgarbossa,"2,500.00",,6.00,1.50,1.62,FALSE,,,,1.5,1.20,0,0
235539,C,Max Talbot,"3,000.00",,6.00,1.40,1.53,FALSE,,,,1.4,1.12,0,0
296046,C,Nate Thompson,"2,700.00",,4.00,1.40,1.53,FALSE,,,,1.4,1.12,0,0
301462,D,Clayton Stoner,"2,700.00",,4.00,1.30,1.44,FALSE,,,,1.3,1.04,0,0
170835,D,Eric Brewer,"2,500.00",,4.00,1.30,1.44,FALSE,,,,1.3,1.04,0,0
263094,LW,Rene Bourque,"2,500.00",,12.00,1.20,1.35,FALSE,,,,1.2,1.20,0,0
296907,LW,Brandon Prust,"2,800.00",,5.00,1.20,1.35,FALSE,,TRUE,,1.2,1.14,0,0
170808,D,Bryan Allen,"2,500.00",,6.00,1.20,1.35,FALSE,,TRUE,,1.2,1.14,0,0
612926,D,Josh Manson,"2,500.00",,4.00,1.10,1.27,FALSE,,,,1.1,0.88,0,0
339758,LW,Cody McLeod,"2,500.00",,20.00,1.00,1.18,FALSE,,TRUE,,1.0,1.15,0,0
170801,C,Manny Malhotra,"2,500.00",,10.00,0.90,1.09,FALSE,,,,0.9,0.72,0,0
521980,C,Tomas Vincour,"2,500.00",,6.00,0.90,1.09,FALSE,,,,0.9,0.72,0,0
409629,LW,Eric Tangradi,"2,500.00",,5.00,0.80,1.00,FALSE,,TRUE,,0.8,0.76,0,0
172412,RW,Tim Jackman,"2,500.00",,4.00,0.80,1.00,FALSE,,,,0.8,0.64,0,0
522063,D,Mat Clark,"2,500.00",,4.00,0.60,0.82,FALSE,,,,0.6,0.48,0,0
594358,C,Ben Street,"2,500.00",,6.00,0.50,0.73,FALSE,,,,0.5,0.40,0,0
269518,D,Mark Fistric,"2,500.00",,4.00,0.30,0.55,FALSE,,,,0.3,0.24,0,0
555392,RW,Chris Wagner,"2,500.00",,4.00,0.00,0.28,FALSE,,,,0.0,0.00,0,0
376393,RW,Marc-Andre Cliche,"2,500.00",,2.00,0.00,0.28,FALSE,,,,0.8,0.00,0,0
732732,G,Reto Berra,"6,600.00",,30.00,0.00,0.28,FALSE,,,,1.9,0.00,0,0
489286,G,Dustin Tokarski,"6,400.00",,22.00,0.00,0.28,FALSE,,,,3.9,0.00,0,0
571307,G,Igor Bobkov,"6,400.00",,20.00,0.00,0.28,FALSE,,,,0.0,0.00,0,0
170719,D,Sheldon Souray,"2,700.00",,4.00,0.00,0.28,FALSE,,,,0.0,0.00,0,0
